2025-08-15 17:49:08.335 [main] INFO  c.w.serial.node.SerialPortNode - 启动串口节点端: Node-17608
2025-08-15 17:49:09.806 [main] INFO  c.w.s.node.service.SerialPortService - 节点端串口唯一应用ID：EFOAI_SerialPort_Node_1956292067956305920
2025-08-15 17:49:10.218 [nioEventLoopGroup-2-1] INFO  c.w.s.node.network.NodeClientHandler - 节点端连接建立: 127.0.0.1:38888
2025-08-15 17:49:10.279 [main] INFO  c.w.serial.node.network.NodeClient - 节点端连接服务器成功: localhost:38888
2025-08-15 17:49:10.380 [nioEventLoopGroup-2-1] DEBUG c.w.s.node.network.NodeClientHandler - 收到消息: {"type":"CONNECT_ACK","messageId":"abb27155-255e-4cc4-ae0a-4fbb4b411e78","senderId":"SERVER","receiverId":"127.0.0.1:45410","timestamp":1755251350356}
2025-08-15 17:49:10.381 [nioEventLoopGroup-2-1] INFO  c.w.serial.node.network.NodeClient - 连接确认收到
2025-08-15 17:49:10.400 [main] INFO  c.w.s.node.service.SerialPortService - 启动时自动推送串口列表到服务端: COM10,COM6,COM11,COM7,COM9,COM5
2025-08-15 17:49:10.400 [main] INFO  c.w.s.node.service.SerialPortService - 串口服务已启动
2025-08-15 17:49:15.411 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM10
2025-08-15 17:49:15.412 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM6
2025-08-15 17:49:15.412 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM11
2025-08-15 17:49:15.412 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM7
2025-08-15 17:49:15.413 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM9
2025-08-15 17:49:15.413 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM5
2025-08-15 17:49:15.423 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 串口列表已更新到服务端: COM10,COM6,COM11,COM7,COM9,COM5
2025-08-15 17:49:20.283 [nioEventLoopGroup-2-1] DEBUG c.w.s.node.network.NodeClientHandler - 收到消息: {"type":"HEARTBEAT_ACK","messageId":"bb145f79-f27b-43c6-bc4b-7b17bd6a9b0f","senderId":"SERVER","receiverId":"127.0.0.1:45410","timestamp":1755251360282}
2025-08-15 17:49:20.436 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM10
2025-08-15 17:49:20.436 [Thread-4] INFO  c.w.s.node.service.SerialPortService - 检测到新增串口: COM6
